crop,issue,files
bean,tachesnoires,5
bean,tetranyque,11
bean,thrips,2
celery,cavariella-aegopodii,8
celery,coeurpourri,4
celery,gfh-cicadelle,3
celery,tachesbrunes,3
cucumber,alternaria,11
cucumber,alternaria-alternata,10
cucumber,blanc,35
cucumber,bruluremarginale,3
cucumber,carence,7
cucumber,chrysomele,3
cucumber,cladosporium-gale,5
cucumber,cloquedecrapaud,3
cucumber,crc,1
cucumber,fusarium,13
cucumber,gardenfleahopper,1
cucumber,mildiou,9
cucumber,pasdevirus,12
cucumber,plantsmorts,8
cucumber,potyvirus,12
cucumber,potyvirus-horsreseau-gaspesie,2
cucumber,pourrituretige,3
cucumber,pythium-myriotylum,2
cucumber,rientrouveaulab,11
cucumber,salinite,4
cucumber,tachebrunjaune,3
cucumber,tachesbrunesrougeatre,9
cucumber,tachesjaunes,3
cucumber,tachesjaunescarrees,6
cucumber,tetranyque,19
cucumber,thrips,4
cucumber,unlabeled-wilt-plant30,2
cucumber,virus,2
eggplant,altise,6
eggplant,gardenfleahopper,5
eggplant,verticilose,3
eggplant,vieillesfeuilles,4
herbs,mildiou,3
herbs,orthoptere,1
pepper,chenille,3
pepper,feuillebrune,3
pepper,hyperparasitisme,6
pepper,pourrritureapicale,3
pepper,puceron,5
pepper,pucerondommages,3
pepper,tachesbrunes-point-blanc,1
tomato,acariose,6
tomato,aleurodes,1
tomato,alternaria,26
tomato,alternaria-alternata,8
tomato,alternaria-solani,22
tomato,alternariose,12
tomato,argenture,3
tomato,avortement,4
tomato,bacteries,9
tomato,blanc,18
tomato,cest-quoi-what-is-it,21
tomato,didymella,7
tomato,didymella-alternaria,7
tomato,feuillebicoloredeperit,9
tomato,feuillesmortes,9
tomato,fruitendommage,3
tomato,fruitpicotes-dores,5
tomato,fruitpourris,5
tomato,fruitsdores-picotes,4
tomato,moisissure-olive,36
tomato,pinkw-decoloration,8
tomato,pointsjaune,2
tomato,pucerondelapommedeterre,2
tomato,pucerons,6
tomato,shortleaf,3
tomato,sphinx-tomate,17
tomato,survigueur,2
tomato,tachesbrunes,2
tomato,tachespales,2
tomato-cucumber,dicyphusdommagefruits,4
tomato-cucumber,insv-ou-tswv,2
